"DAY,N,16,0","MONTH,N,16,0","YEAR,N,16,0",,"LATITUDE,N,16,8","LONGITUD,N,16,8","STATE,N,16,0","COUNTY,N,16,0","FATALS,N,16,0","DRUNK_DR,N,16,0"
18,8,2013,,34.88035,-86.58925556,1,89,1,0
21,8,2013,,33.16550833,-87.56340833,1,125,1,0
22,8,2013,,32.95915833,-86.674,1,21,1,0
24,8,2013,,32.52705833,-86.848875,1,1,1,0
27,8,2013,,32.51738056,-86.37426944,1,51,1,0
22,8,2013,,33.37504722,-85.50945278,1,111,1,0
28,8,2013,,32.32883333,-85.16799444,1,113,1,0
1,2,2013,,30.59333056,-87.89797222,1,3,2,0
3,8,2013,,34.90408056,-87.08448333,1,83,1,0
11,8,2013,,32.74774167,-85.29502778,1,17,1,1
12,8,2013,,32.71705556,-85.20103333,1,81,1,1
13,8,2013,,34.25748056,-86.87620278,1,43,1,0
18,8,2013,,32.16771944,-85.82023611,1,11,1,1
18,8,2013,,31.86465278,-86.83427222,1,13,1,1
19,8,2013,,30.86904444,-88.27359722,1,97,1,0
21,8,2013,,33.41196389,-86.96865278,1,73,1,0
25,8,2013,,31.21256667,-86.446625,1,39,1,1
9,8,2013,,33.58724167,-86.75114722,1,73,1,1
15,8,2013,,32.15368611,-85.69855833,1,11,1,1
16,8,2013,,32.96449167,-85.91258333,1,123,1,0
22,2,2013,,34.43751944,-85.70661667,1,49,1,0
1,8,2013,,33.52586667,-86.66507222,1,73,1,0
26,8,2013,,34.75716944,-87.55508056,1,33,1,0
27,8,2013,,34.71695,-86.750625,1,89,1,0
29,8,2013,,32.18587778,-85.04332778,1,113,1,0
30,8,2013,,33.82646389,-86.27519722,1,115,1,0
30,8,2013,,34.40046944,-87.75200278,1,59,1,0
30,8,2013,,30.51398056,-88.20819167,1,97,1,0
23,8,2013,,33.50955556,-86.89275833,1,73,1,0
15,8,2013,,30.71707222,-87.90151389,1,3,1,0
30,8,2013,,34.50669722,-85.80964722,1,49,2,0
1,9,2013,,32.78116944,-85.31425556,1,17,1,0
